DATE,WTREGEN
1990-10-17,5.505
1990-10-24,4.931
1990-10-31,6.274
1990-11-07,6.519
1990-11-14,5.471
1990-11-21,5.375
1990-11-28,4.894
1990-12-05,5.651
1990-12-12,4.148
1990-12-19,5.406
1990-12-26,6.810
1991-01-02,7.987
1991-01-09,6.906
1991-01-16,5.320
1991-01-23,5.494
1991-01-30,14.064
1991-02-06,11.182
1991-02-13,11.187
1991-02-20,9.728
1991-02-27,13.345
1991-03-06,9.192
1991-03-13,5.869
1991-03-20,4.801
1991-03-27,6.131
1991-04-03,8.352
1991-04-10,4.796
1991-04-17,3.780
1991-04-24,5.509
1991-05-01,5.746
1991-05-08,5.222
1991-05-15,4.931
1991-05-22,5.583
1991-05-29,4.644
1991-06-05,5.942
1991-06-12,5.158
1991-06-19,5.977
1991-06-26,5.745
1991-07-03,9.507
1991-07-10,7.081
1991-07-17,6.646
1991-07-24,6.033
1991-07-31,6.470
1991-08-07,5.808
1991-08-14,6.028
1991-08-21,5.138
1991-08-28,5.196
1991-09-04,6.260
1991-09-11,5.809
1991-09-18,8.321
1991-09-25,9.908
1991-10-02,8.398
1991-10-09,5.260
1991-10-16,4.486
1991-10-23,6.493
1991-10-30,5.130
1991-11-06,7.908
1991-11-13,5.832
1991-11-20,5.596
1991-11-27,5.281
1991-12-04,5.921
1991-12-11,5.191
1991-12-18,5.838
1991-12-25,9.723
1992-01-01,13.005
1992-01-08,6.147
1992-01-15,5.455
1992-01-22,6.072
1992-01-29,8.853
1992-02-05,8.599
1992-02-12,6.584
1992-02-19,5.874
1992-02-26,5.139
1992-03-04,5.563
1992-03-11,5.245
1992-03-18,5.906
1992-03-25,5.724
1992-04-01,5.184
1992-04-08,5.438
1992-04-15,4.435
1992-04-22,5.178
1992-04-29,4.781
1992-05-06,4.774
1992-05-13,5.012
1992-05-20,5.070
1992-05-27,5.438
1992-06-03,5.540
1992-06-10,4.916
1992-06-17,6.657
1992-06-24,8.136
1992-07-01,8.434
1992-07-08,6.133
1992-07-15,5.245
1992-07-22,5.231
1992-07-29,5.562
1992-08-05,6.707
1992-08-12,5.445
1992-08-19,5.291
1992-08-26,5.620
1992-09-02,5.744
1992-09-09,5.923
1992-09-16,6.284
1992-09-23,13.697
1992-09-30,21.297
1992-10-07,5.499
1992-10-14,4.555
1992-10-21,4.675
1992-10-28,5.191
1992-11-04,5.622
1992-11-11,5.250
1992-11-18,5.184
1992-11-25,5.787
1992-12-02,5.602
1992-12-09,5.076
1992-12-16,5.002
1992-12-23,7.764
1992-12-30,6.320
1993-01-06,8.360
1993-01-13,5.492
1993-01-20,6.988
1993-01-27,8.761
1993-02-03,11.447
1993-02-10,5.391
1993-02-17,4.791
1993-02-24,4.967
1993-03-03,6.017
1993-03-10,5.395
1993-03-17,5.563
1993-03-24,5.026
1993-03-31,5.243
1993-04-07,5.723
1993-04-14,5.348
1993-04-21,8.135
1993-04-28,4.770
1993-05-05,6.116
1993-05-12,5.646
1993-05-19,5.937
1993-05-26,6.110
1993-06-02,5.984
1993-06-09,4.468
1993-06-16,5.364
1993-06-23,9.667
1993-06-30,16.256
1993-07-07,6.833
1993-07-14,6.822
1993-07-21,6.065
1993-07-28,5.435
1993-08-04,5.934
1993-08-11,5.661
1993-08-18,5.675
1993-08-25,5.970
1993-09-01,5.544
1993-09-08,5.949
1993-09-15,5.117
1993-09-22,16.981
1993-09-29,10.104
1993-10-06,7.518
1993-10-13,5.179
1993-10-20,5.755
1993-10-27,5.130
1993-11-03,5.989
1993-11-10,5.059
1993-11-17,5.605
1993-11-24,5.971
1993-12-01,5.416
1993-12-08,4.482
1993-12-15,5.165
1993-12-22,8.264
1993-12-29,7.116
1994-01-05,9.813
1994-01-12,4.035
1994-01-19,5.647
1994-01-26,8.778
1994-02-02,13.224
1994-02-09,5.960
1994-02-16,4.691
1994-02-23,5.985
1994-03-02,4.435
1994-03-09,5.222
1994-03-16,5.463
1994-03-23,4.971
1994-03-30,4.847
1994-04-06,6.073
1994-04-13,3.965
1994-04-20,6.568
1994-04-27,5.473
1994-05-04,8.992
1994-05-11,6.067
1994-05-18,5.997
1994-05-25,5.287
1994-06-01,4.683
1994-06-08,4.993
1994-06-15,4.826
1994-06-22,7.064
1994-06-29,7.561
1994-07-06,5.917
1994-07-13,6.031
1994-07-20,4.581
1994-07-27,5.373
1994-08-03,5.046
1994-08-10,5.422
1994-08-17,4.780
1994-08-24,5.208
1994-08-31,5.029
1994-09-07,4.514
1994-09-14,5.576
1994-09-21,7.367
1994-09-28,6.195
1994-10-05,6.150
1994-10-12,5.594
1994-10-19,5.112
1994-10-26,5.078
1994-11-02,6.119
1994-11-09,5.503
1994-11-16,5.225
1994-11-23,4.821
1994-11-30,5.351
1994-12-07,4.337
1994-12-14,6.044
1994-12-21,6.697
1994-12-28,6.973
1995-01-04,7.148
1995-01-11,7.421
1995-01-18,6.525
1995-01-25,5.919
1995-02-01,8.630
1995-02-08,6.864
1995-02-15,4.789
1995-02-22,5.707
1995-03-01,5.177
1995-03-08,5.158
1995-03-15,5.175
1995-03-22,6.000
1995-03-29,4.600
1995-04-05,5.138
1995-04-12,4.978
1995-04-19,6.178
1995-04-26,7.065
1995-05-03,9.402
1995-05-10,4.876
1995-05-17,5.582
1995-05-24,4.823
1995-05-31,5.320
1995-06-07,4.424
1995-06-14,5.286
1995-06-21,11.241
1995-06-28,6.977
1995-07-05,13.727
1995-07-12,5.767
1995-07-19,5.568
1995-07-26,5.616
1995-08-02,6.377
1995-08-09,5.134
1995-08-16,5.221
1995-08-23,5.541
1995-08-30,4.923
1995-09-06,5.083
1995-09-13,4.903
1995-09-20,10.002
1995-09-27,6.651
1995-10-04,6.829
1995-10-11,5.630
1995-10-18,4.941
1995-10-25,5.275
1995-11-01,5.228
1995-11-08,4.948
1995-11-15,6.024
1995-11-22,5.125
1995-11-29,5.614
1995-12-06,5.942
1995-12-13,5.559
1995-12-20,8.633
1995-12-27,7.169
1996-01-03,6.306
1996-01-10,5.313
1996-01-17,5.548
1996-01-24,7.218
1996-01-31,6.963
1996-02-07,5.493
1996-02-14,5.204
1996-02-21,5.137
1996-02-28,3.883
1996-03-06,4.312
1996-03-13,5.507
1996-03-20,7.235
1996-03-27,5.048
1996-04-03,6.017
1996-04-10,5.986
1996-04-17,7.655
1996-04-24,8.251
1996-05-01,8.709
1996-05-08,6.537
1996-05-15,5.673
