DATE,RMFSL
2006-01-01,715.0
2006-02-01,716.8
2006-03-01,718.4
2006-04-01,726.3
2006-05-01,732.0
2006-06-01,747.0
2006-07-01,757.6
2006-08-01,767.0
2006-09-01,776.1
2006-10-01,787.3
2006-11-01,797.5
2006-12-01,804.4
2007-01-01,814.8
2007-02-01,820.6
2007-03-01,829.2
2007-04-01,841.0
2007-05-01,848.0
2007-06-01,862.7
2007-07-01,875.3
2007-08-01,898.7
2007-09-01,907.4
2007-10-01,915.6
2007-11-01,934.2
2007-12-01,954.4
2008-01-01,973.8
2008-02-01,1011.2
2008-03-01,1021.4
2008-04-01,1046.7
2008-05-01,1034.1
2008-06-01,1026.2
2008-07-01,1029.6
2008-08-01,1025.9
2008-09-01,1014.3
2008-10-01,1044.3
2008-11-01,1039.0
2008-12-01,1042.6
2009-01-01,1036.9
2009-02-01,1021.5
2009-03-01,1017.5
2009-04-01,1002.9
2009-05-01,980.0
2009-06-01,951.1
2009-07-01,927.4
2009-08-01,901.2
2009-09-01,875.3
2009-10-01,845.0
2009-11-01,825.3
2009-12-01,801.4
2010-01-01,782.0
2010-02-01,774.7
2010-03-01,754.2
2010-04-01,742.9
2010-05-01,741.1
2010-06-01,742.8
2010-07-01,736.6
2010-08-01,726.9
2010-09-01,717.8
2010-10-01,709.6
2010-11-01,704.5
2010-12-01,697.5
2011-01-01,691.2
2011-02-01,692.0
2011-03-01,692.3
2011-04-01,688.5
2011-05-01,686.6
2011-06-01,688.7
2011-07-01,690.1
2011-08-01,699.4
2011-09-01,694.3
2011-10-01,693.1
2011-11-01,690.0
2011-12-01,683.2
2012-01-01,678.9
2012-02-01,673.1
2012-03-01,669.9
2012-04-01,668.8
2012-05-01,664.3
2012-06-01,660.8
2012-07-01,657.9
2012-08-01,651.2
2012-09-01,650.3
2012-10-01,647.3
2012-11-01,654.1
2012-12-01,663.2
2013-01-01,674.3
2013-02-01,663.3
2013-03-01,665.1
2013-04-01,663.8
2013-05-01,657.4
2013-06-01,670.9
2013-07-01,680.2
2013-08-01,673.1
2013-09-01,675.1
2013-10-01,673.9
2013-11-01,665.9
2013-12-01,661.5
2014-01-01,657.3
2014-02-01,659.1
2014-03-01,657.1
2014-04-01,658.3
2014-05-01,658.4
2014-06-01,654.7
2014-07-01,650.6
2014-08-01,653.0
2014-09-01,647.9
2014-10-01,652.8
2014-11-01,647.8
2014-12-01,641.0
2015-01-01,639.7
2015-02-01,636.1
2015-03-01,634.0
2015-04-01,632.9
2015-05-01,627.1
2015-06-01,630.7
2015-07-01,634.0
2015-08-01,637.1
2015-09-01,645.2
2015-10-01,644.1
2015-11-01,647.3
2015-12-01,661.9
2016-01-01,740.7
2016-02-01,752.0
2016-03-01,738.4
2016-04-01,729.8
2016-05-01,726.4
2016-06-01,717.5
2016-07-01,709.9
2016-08-01,692.1
2016-09-01,672.3
2016-10-01,678.7
2016-11-01,699.6
2016-12-01,697.5
2017-01-01,692.7
2017-02-01,691.5
2017-03-01,697.0
2017-04-01,701.9
2017-05-01,700.8
2017-06-01,699.3
2017-07-01,700.5
2017-08-01,707.5
2017-09-01,709.2
2017-10-01,708.6
2017-11-01,708.8
2017-12-01,711.5
2018-01-01,710.3
2018-02-01,721.5
2018-03-01,725.5
2018-04-01,733.7
2018-05-01,755.1
2018-06-01,763.7
2018-07-01,770.9
2018-08-01,779.0
2018-09-01,787.6
2018-10-01,796.0
2018-11-01,806.6
2018-12-01,818.9
2019-01-01,857.7
2019-02-01,866.2
2019-03-01,880.6
2019-04-01,890.6
2019-05-01,899.5
2019-06-01,911.5
2019-07-01,931.9
2019-08-01,946.7
2019-09-01,963.4
2019-10-01,983.7
2019-11-01,994.6
2019-12-01,987.8
2020-01-01,987.7
2020-02-01,989.6
2020-03-01,1034.1
2020-04-01,1107.3
2020-05-01,1148.8
2020-06-01,1145.9
2020-07-01,1129.3
2020-08-01,1112.7
2020-09-01,1096.3
2020-10-01,1084.7
2020-11-01,1088.8
2020-12-01,1065.6
2021-01-01,1062.8
2021-02-01,1069.7
2021-03-01,1058.3
2021-04-01,1046.9
2021-05-01,1041.8
2021-06-01,1032.7
2021-07-01,1028.8
2021-08-01,1018.5
2021-09-01,1011.4
